,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,price,has_availability,instant_bookable
15,Blanca,2019-06-19,"Málaga, Spain",within an hour,100%,100%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Private room in rental unit,Private room,$211.00,t,f
16,Sami Idriss,2015-04-21,"Málaga, Spain",within a day,73%,6%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Bailen-Miraflores,Private room in condo,Private room,$20.00,t,f
17,Elsa,2015-05-19,"Málaga, Spain",within a day,73%,6%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$160.00,t,f
18,Juan,2014-01-12,"Málaga, Spain",within a few hours,100%,86%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Teatinos-Universidad,Entire rental unit,Entire home/apt,$94.00,t,f
19,Antonio.,2016-08-13,"Málaga, Spain",within an hour,100%,100%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$101.00,t,t
20,Caleta Homes,2012-05-27,"Andalucía, Spain",within an hour,100%,99%,f,La Victoria,"['phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$307.00,t,t
21,Mª Carmen,2014-03-09,"Málaga, Spain",within a few hours,100%,58%,f,Urbanización Cerros del Águila,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$204.00,t,f
22,Fátima,2017-02-23,"Málaga, Spain",within an hour,100%,94%,t,Urbanización Cerros del Águila,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$153.00,t,f
23,Lucia,2012-07-16,"Andalusia, Spain",within an hour,100%,100%,t,Urbanización Cerros del Águila,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in condo,Private room,$153.00,t,f
24,Alberto,2016-06-20,"Málaga, Spain",a few days or more,0%,0%,f,Urbanización Cerros del Águila,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$153.00,t,f
25,Malaga,2014-11-03,"Andalusia, Spain",within an hour,100%,98%,f,Urbanización Cerros del Águila,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$153.00,t,t
26,Alejandro,2024-05-16,"Andalusia, Spain",within a few hours,100%,0%,f,Urbanización Cerros del Águila,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$109.00,t,t
27,Begoña,2020-06-29,"Andalusia, Spain",within a day,50%,50%,f,Urbanización Cerros del Águila,"['email', 'phone']",t,f,"Málaga, Spain",Este,Entire rental unit,Entire home/apt,$109.00,t,f
28,María Del Mar,2021-06-26,"Andalusia, Spain",within a day,100%,100%,f,Urbanización Cerros del Águila,['phone'],f,f,"Málaga, Andalucía, Spain",Carretera de Cadiz,Entire rental unit,Entire home/apt,$109.00,t,f
29,Alejandro,2016-03-17,"Málaga, Spain",within a day,100%,100%,f,Urbanización Cerros del Águila,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Churriana,Entire home,Entire home/apt,"$1,300.00",t,t
30,MimoRooms,2013-06-24,"Málaga, Spain",within an hour,100%,100%,f,Urbanización Cerros del Águila,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in home,Private room,"$1,300.00",t,t
31,INMálaga,2016-06-23,"Málaga, Spain",within an hour,100%,100%,f,Urbanización Cerros del Águila,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,"$1,300.00",t,t
32,OndaLuz,2021-11-24,"Málaga, Spain",within an hour,99%,100%,f,Urbanización Cerros del Águila,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in rental unit,Private room,"$1,300.00",t,t
33,María,2019-12-13,"Málaga, Spain",within an hour,98%,100%,f,San Andrés,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Bailen-Miraflores,Room in aparthotel,Private room,"$1,300.00",t,t
34,Elena,2019-04-23,"Málaga, Spain",within an hour,100%,100%,f,San Andrés,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$184.00,t,t
35,Raquel,2014-05-29,"Málaga, Spain",within a few hours,100%,100%,f,San Andrés,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$69.00,t,f
36,María,2019-12-13,"Málaga, Spain",within an hour,98%,100%,f,San Andrés,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Cruz De Humilladero,Entire rental unit,Entire home/apt,$132.00,t,t
37,Jose Maria,2015-04-12,"Málaga, Spain",within a few hours,100%,91%,f,San Andrés,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$110.00,t,f
38,Hotel Humaina,2017-08-16,"Andalusia, Spain",within an hour,100%,100%,f,San Andrés,"['email', 'phone', 'work_email']",t,f,"Málaga, Andalucía, Spain",Ciudad Jardin,Room in hotel,Private room,$136.00,t,t
39,Alfonso,2014-03-03,"Málaga, Spain",within a few hours,100%,57%,f,San Andrés,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Cruz De Humilladero,Private room in condo,Private room,$30.00,t,f
40,Belen,2016-08-31,"Málaga, Spain",within an hour,100%,100%,t,San Andrés,['phone'],t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$427.00,t,t
41,Marek,2024-06-28,"Málaga, Spain",within an hour,100%,100%,f,San Andrés,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$400.00,t,t
42,Arianna,2017-01-17,"Málaga, Spain",within an hour,100%,0%,f,San Andrés,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$400.00,t,t
43,Fernando,2020-02-15,"Andalusia, Spain",within an hour,98%,99%,f,San Andrés,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$108.00,t,t
44,Inés,2015-04-21,"Málaga, Spain",within an hour,90%,100%,f,San Andrés,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Bailen-Miraflores,Private room in rental unit,Private room,$22.00,t,t
45,Ofelia Y Alejandro,2017-08-12,"Málaga, Spain",within an hour,100%,94%,f,San Andrés,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in rental unit,Private room,$83.00,t,f
46,María Dolores,2016-12-29,"Málaga, Spain",within a day,100%,94%,f,San Andrés,['phone'],t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$150.00,t,f
47,Mª Begoña,2022-09-28,"Málaga, Spain",within a few hours,71%,63%,f,San Andrés,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$176.00,t,t
48,Fernando,2020-02-15,"Andalusia, Spain",within an hour,98%,99%,f,San Andrés,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$104.00,t,t
49,Jose Maria,2015-04-12,"Málaga, Spain",within a few hours,100%,91%,f,San Andrés,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$94.00,t,f
50,Villa Alicia,2015-08-05,"Málaga, Spain",within a day,100%,91%,f,San Andrés,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in bed and breakfast,Private room,"$2,600.00",t,f
51,Carlos,2022-04-24,"Málaga, Spain",within an hour,100%,91%,t,San Andrés,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Entire rental unit,Entire home/apt,$96.00,t,f
52,Ibra,2017-10-12,"Málaga, Spain",within an hour,100%,100%,t,San Andrés,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Entire rental unit,Entire home/apt,$179.00,t,t
53,HomeAbroad Apartments,2019-03-20,"Andalusia, Spain",within an hour,90%,96%,f,Trafalgar,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$427.00,t,t
54,Jose Maria,2024-03-14,"Andalusia, Spain",within an hour,100%,100%,f,Trafalgar,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$177.00,t,t
55,Clara,2017-05-25,"Málaga, Spain",within an hour,100%,100%,t,Trafalgar,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$130.00,t,t
56,Francisco Javier,2014-05-10,"Málaga, Spain",within an hour,70%,100%,f,Trafalgar,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire vacation home,Entire home/apt,$95.00,t,t
57,Comam,2014-08-13,"Málaga, Spain",within an hour,100%,99%,t,Trafalgar,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire loft,Entire home/apt,$145.00,t,t
58,Pietro,2018-10-29,"Málaga, Spain",within an hour,100%,99%,f,Trafalgar,['phone'],t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Entire rental unit,Entire home/apt,$105.00,t,t
59,Antonio.,2016-08-13,"Málaga, Spain",within an hour,100%,100%,f,Trafalgar,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Entire rental unit,Entire home/apt,$120.00,t,f
60,Málaga De Vacaciones,2012-08-18,"Málaga, Spain",within an hour,97%,99%,f,Trafalgar,"['email', 'phone', 'work_email']",t,t,"Málaga, Spain",Este,Entire rental unit,Entire home/apt,$92.00,t,t
61,Jose Ignacio,2014-10-25,"Málaga, Spain",within an hour,100%,100%,f,Trafalgar,"['email', 'phone']",t,t,"Málaga, Spain",Centro,Entire rental unit,Entire home/apt,$103.00,t,t
62,Sebastian,2014-06-17,"Málaga, Spain",within a few hours,100%,96%,t,Trafalgar,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Private room in rental unit,Private room,$45.00,t,f
63,Iñaki,2023-03-09,"Azpeitia, Spain",within an hour,67%,100%,f,Trafalgar,['phone'],t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$81.00,t,t
64,Francisco,2018-02-10,"San Diego, CA",within an hour,67%,100%,f,Trafalgar,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire condo,Entire home/apt,$225.00,t,f
65,ÁngelayRaúl,2017-11-05,"Málaga, Spain",within an hour,100%,100%,f,Trafalgar,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$106.00,t,t
66,Manuel,2023-08-03,"Málaga, Spain",within an hour,100%,99%,t,Trafalgar,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$118.00,t,t
67,Victor,2013-08-23,"Andalusia, Spain",within an hour,100%,86%,f,Trafalgar,['phone'],t,t,"Málaga, Andalucía, Spain",Cruz De Humilladero,Entire rental unit,Entire home/apt,$114.00,t,f
68,I Loft Malaga,2016-06-27,"Málaga, Spain",within an hour,100%,100%,f,Trafalgar,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$280.00,t,t
69,Leila,2017-08-05,"Málaga, Spain",within an hour,100%,25%,f,Trafalgar,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Private room in rental unit,Private room,$103.00,t,f
70,Laura,2013-01-31,"Málaga, Spain",within an hour,100%,100%,f,Trafalgar,"['email', 'phone']",t,t,"Málaga, Andalusia, Spain",Este,Entire rental unit,Entire home/apt,$94.00,t,t
71,Priscila,2024-04-20,"Málaga, Spain",within a day,100%,100%,f,Trafalgar,"['email', 'phone']",f,t,"Málaga, Andalusia, Spain",Carretera de Cadiz,Entire rental unit,Entire home/apt,$108.00,t,f
72,Alberto,2018-02-18,"Andalusia, Spain",within an hour,100%,93%,f,Trafalgar,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$221.00,t,f
73,Marisa,2023-09-26,"Málaga, Spain",within an hour,100%,100%,t,Trafalgar,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$277.00,t,f
74,Francisco Javier,2017-08-13,"Vélez-Málaga, Spain",within an hour,100%,100%,f,Trafalgar,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$85.00,t,t
75,Ele,2016-08-14,"Andalusia, Spain",within an hour,100%,100%,f,Trafalgar,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$221.00,t,t
76,Adrián,2020-07-12,"Málaga, Spain",a few days or more,42%,55%,f,Trafalgar,['phone'],t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$264.00,t,f
77,Alquiler Vacacional,2019-06-28,"Andalusia, Spain",within an hour,94%,98%,f,Trafalgar,['phone'],t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$76.00,t,t
78,Carmen,2018-12-07,"Andalusia, Spain",within an hour,100%,100%,t,Trafalgar,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire condo,Entire home/apt,$68.00,t,t
79,Miriam,2014-09-20,"Málaga, Spain",within a few hours,100%,73%,f,Trafalgar,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire villa,Entire home/apt,$850.00,t,f
80,Jose,2015-08-05,"Málaga, Spain",within an hour,100%,100%,f,Trafalgar,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Entire rental unit,Entire home/apt,$102.00,t,t
81,Inma,2015-09-27,"Málaga, Spain",within a few hours,80%,89%,f,Trafalgar,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Campanillas,Entire home,Entire home/apt,$264.00,t,f
82,Matilde,2015-09-28,"Andalusia, Spain",within an hour,100%,79%,t,Trafalgar,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in rental unit,Private room,$81.00,t,f
83,Pavlina,2021-05-04,"Andalusia, Spain",within a few hours,100%,100%,f,Trafalgar,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Private room in condo,Private room,$30.00,t,t
84,Francisco Javier,2023-04-06,"Málaga, Spain",within a few hours,100%,100%,f,Trafalgar,['phone'],t,t,"Málaga, Andalucía, Spain",Ciudad Jardin,Private room in bed and breakfast,Private room,$60.00,t,f
85,Paqui,2016-07-17,"Jaén, Spain",within an hour,100%,100%,t,Trafalgar,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$121.00,t,t
86,Caleta Homes,2012-05-27,"Andalucía, Spain",within an hour,100%,99%,f,La Victoria,"['phone', 'work_email']",t,t,"Málaga, Spain",Centro,Entire rental unit,Entire home/apt,$185.00,t,t
87,Angela,2022-02-19,"Andalucía, Spain",within a day,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Spain",Centro,Entire condo,Entire home/apt,$95.00,t,f
88,Steffen,2017-04-18,"Andalusia, Spain",within an hour,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Spain",Centro,Entire rental unit,Entire home/apt,$253.00,t,t
89,Elizabeth,2024-04-15,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,['phone'],t,t,"Málaga, Spain",Cruz De Humilladero,Entire rental unit,Entire home/apt,$76.00,t,f
90,Mykola,2023-08-21,"Málaga, Spain",within an hour,100%,100%,t,La Victoria,"['email', 'phone']",f,t,"Málaga, Spain",Carretera de Cadiz,Entire rental unit,Entire home/apt,$89.00,t,f
91,Paula,2018-04-07,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Spain",Carretera de Cadiz,Entire rental unit,Entire home/apt,$130.00,t,t
92,Silvia,2016-03-05,"Málaga, Spain",a few days or more,0%,0%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Spain",Centro,Private room in casa particular,Private room,$72.00,t,f
93,Pedro,2017-01-17,"Málaga, Spain",within an hour,92%,68%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Spain",Centro,Entire loft,Entire home/apt,$69.00,t,f
94,Carolina,2014-12-05,"Málaga, Spain",within a few hours,99%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Spain",Carretera de Cadiz,Private room in rental unit,Private room,$28.00,t,f
95,Maria José,2018-07-05,"Andalusia, Spain",within a few hours,100%,40%,f,La Victoria,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Cruz De Humilladero,Entire rental unit,Entire home/apt,$185.00,t,f
96,Sergio,2018-02-27,"Andalusia, Spain",within an hour,100%,92%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Entire rental unit,Entire home/apt,$139.00,t,t
97,Luisa,2014-06-19,"Benalmádena, Spain",within an hour,100%,99%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$110.00,t,t
98,Pancho,2014-10-10,"Andalusia, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$110.00,t,t
99,Javier,2023-06-02,"Andalusia, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Entire rental unit,Entire home/apt,$99.00,t,t
100,Ele,2016-08-14,"Andalusia, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$207.00,t,t
101,Esther,2019-09-30,"Andalusia, Spain",within an hour,100%,100%,t,La Victoria,['phone'],t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$128.00,t,f
102,Jose Carlos,2022-05-18,"Andalusia, Spain",within an hour,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$100.00,t,t
103,Teatro Suites,2018-06-25,"Andalusia, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$100.00,t,f
104,Leandro,2014-09-19,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$122.00,t,t
105,Ali,2014-10-10,"Málaga, Spain",within an hour,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire condo,Entire home/apt,$84.00,t,t
106,Maria Del Mar,2013-01-17,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$106.00,t,t
107,Carolina,2014-12-05,"Málaga, Spain",within a few hours,99%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in rental unit,Private room,$30.00,t,f
108,Holidu,2023-05-05,"Madrid, Spain",within an hour,100%,99%,f,Urbanización Costabella,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$81.00,t,t
109,Leandro,2014-09-19,"Málaga, Spain",within an hour,100%,100%,f,Urbanización Costabella,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$115.00,t,t
110,Homeabout,2014-07-01,"Madrid, Spain",within an hour,98%,99%,f,La Latina,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$126.00,t,f
111,Remy,2019-07-24,"Andalusia, Spain",within an hour,100%,99%,t,La Latina,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire serviced apartment,Entire home/apt,$483.00,t,t
112,Málaga De Vacaciones,2012-08-18,"Málaga, Spain",within an hour,97%,99%,f,La Latina,"['email', 'phone', 'work_email']",t,t,"Málaga, Spain",Centro,Entire rental unit,Entire home/apt,$126.00,t,t
113,Ana,2019-05-29,"Málaga, Spain",within an hour,97%,96%,f,La Latina,"['email', 'phone']",t,t,"Málaga, Spain",Centro,Entire rental unit,Entire home/apt,$110.00,t,f
114,Caleta Homes,2012-05-27,"Andalucía, Spain",within an hour,100%,99%,f,La Victoria,"['phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$305.00,t,t
115,Esther,2023-02-12,"Andalucía, Spain",within an hour,100%,100%,f,La Victoria,['phone'],t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$109.00,t,t
116,Malaga,2014-11-03,"Andalusia, Spain",within an hour,100%,98%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$175.00,t,t
117,Hgh Prime,2019-12-07,"Andalusia, Spain",within an hour,89%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$88.00,t,t
118,Centric,2018-05-27,"Andalusia, Spain",within an hour,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$106.00,t,t
119,Jazmin,2018-03-11,"Andalusia, Spain",within an hour,100%,87%,f,La Victoria,['phone'],t,t,"Málaga, Andalucía, Spain",Centro,Entire condo,Entire home/apt,$75.00,t,f
120,Jose Maria,2023-07-28,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,['phone'],f,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$143.00,t,t
121,Living4Malaga,2016-09-08,"Andalusia, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Entire vacation home,Entire home/apt,$334.00,t,t
122,Malaga,2019-04-03,"Málaga, Spain",within an hour,94%,99%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in rental unit,Private room,$38.00,t,t
123,Emilia Y Pepe,2013-01-25,"Málaga, Spain",within an hour,82%,71%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Entire rental unit,Entire home/apt,$251.00,t,f
124,Patricia,2016-02-07,"Málaga, Spain",within an hour,100%,87%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$702.00,t,t
125,July,2014-06-27,"Andalusia, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$94.00,t,t
126,Malaga Center Flat,2013-08-31,"Málaga, Spain",within an hour,98%,100%,f,La Victoria,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Bailen-Miraflores,Entire rental unit,Entire home/apt,$84.00,t,t
127,Antonio.,2016-08-13,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$90.00,t,t
128,Living4Malaga,2016-09-08,"Andalusia, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$486.00,t,t
129,Alberto,2024-02-11,"Andalusia, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$377.00,t,t
130,Del Parque Flats,2017-09-25,"Málaga, Spain",within an hour,100%,98%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$104.00,t,t
131,Enjoy,2019-01-02,"Saint-Jean-de-Monts, France",within an hour,97%,92%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in home,Private room,$58.00,t,t
132,Andrea,2014-11-07,"Madrid, Spain",within an hour,97%,98%,f,Hortaleza,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Room in hotel,Private room,$100.00,t,t
